OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status,OrderYear,OrderMonth,OrderMonthName,ProductName,Category,UnitPrice,Sales,DiscountAmount,OrderValue,Age,City,SignupDate,CustomerSegment
500001,103695,2025-08-28,2003,4.0,0.1,Gateway,Completed,2025.0,8.0,August,USB-C Cable,Accessories,9.0,36.0,3.6,32.4,36.0,Qom,2024-03-05,Regular
500002,107935,2024-05-31,2014,1.0,0.1,Wallet,Completed,2024.0,5.0,May,Backpack,Accessories,42.0,42.0,4.2,37.8,49.0,Kerman,2025-06-04,Regular
500003,105141,2025-08-10,2002,1.0,0.2,CardToCard,Completed,2025.0,8.0,August,Mechanical Keyboard,Electronics,62.0,62.0,12.4,49.6,36.0,Tehran,2025-10-19,Regular
500004,108780,2024-10-11,2012,1.0,0.1,Gateway,Completed,2024.0,10.0,October,Office Chair,Home Office,180.0,180.0,18.0,162.0,45.0,Shiraz,2023-12-07,Regular
500005,101187,2024-02-19,2008,2.0,0.0,Gateway,Completed,2024.0,2.0,February,Phone Case,Accessories,14.0,28.0,0.0,28.0,24.0,Karaj,2023-12-02,Regular
500006,105545,2024-07-16,2011,4.0,0.0,Gateway,Returned,2024.0,7.0,July,Desk Lamp,Home Office,32.0,128.0,0.0,128.0,28.0,Tehran,2024-08-07,New
500007,106418,2025-10-15,2017,1.0,0.05,Wallet,Completed,2025.0,10.0,October,HDMI Cable,Accessories,11.0,11.0,0.55,10.45,23.0,Isfahan,2023-03-09,New
500008,108755,2024-12-03,2014,1.0,0.0,Gateway,Completed,2024.0,12.0,December,Backpack,Accessories,42.0,42.0,0.0,42.0,,Mashhad,2025-11-20,Regular
500009,105133,2025-04-15,2004,1.0,0.1,Gateway,Completed,2025.0,4.0,April,Power Bank,Electronics,35.0,35.0,3.5,31.5,40.0,Isfahan,2025-05-04,New
500010,103111,2024-04-28,2014,2.0,0.05,Gateway,Cancelled,2024.0,4.0,April,Backpack,Accessories,42.0,84.0,4.2,79.8,43.0,Mashhad,2024-06-20,New
