OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status,OrderYear,OrderMonth,OrderMonthName
500001,103695,2025-08-28,2003,4.0,0.1,Gateway,Completed,2025.0,8.0,August
500002,107935,2024-05-31,2014,1.0,0.1,Wallet,Completed,2024.0,5.0,May
500003,105141,2025-08-10,2002,1.0,0.2,CardToCard,Completed,2025.0,8.0,August
500004,108780,2024-10-11,2012,1.0,0.1,Gateway,Completed,2024.0,10.0,October
500005,101187,2024-02-19,2008,2.0,0.0,Gateway,Completed,2024.0,2.0,February
500006,105545,2024-07-16,2011,4.0,0.0,Gateway,Returned,2024.0,7.0,July
500007,106418,2025-10-15,2017,1.0,0.05,Wallet,Completed,2025.0,10.0,October
500008,108755,2024-12-03,2014,1.0,0.0,Gateway,Completed,2024.0,12.0,December
500009,105133,2025-04-15,2004,1.0,0.1,Gateway,Completed,2025.0,4.0,April
500010,103111,2024-04-28,2014,2.0,0.05,Gateway,Cancelled,2024.0,4.0,April
500011,102192,2024-03-21,2004,3.0,0.3,Gateway,Completed,2024.0,3.0,March
500012,102921,2024-07-25,2001,1.0,0.05,Wallet,Completed,2024.0,7.0,July
500013,101803,2025-02-12,2005,3.0,0.1,CardToCard,Completed,2025.0,2.0,February
500014,108853,2026-01-01,2001,2.0,0.05,CardToCard,Completed,2026.0,1.0,January
500015,102106,2025-10-21,2017,1.0,0.0,Wallet,Completed,2025.0,10.0,October
500016,104175,2024-05-18,2002,3.0,0.0,Gateway,Completed,2024.0,5.0,May
500017,101158,2024-03-02,2001,2.0,0.05,Gateway,Completed,2024.0,3.0,March
500018,109942,2024-07-13,2013,2.0,0.0,Gateway,Completed,2024.0,7.0,July
500019,104270,2026-01-06,2013,1.0,0.0,CardToCard,Completed,2026.0,1.0,January
500020,109355,2025-03-21,2017,2.0,0.2,Cash,Completed,2025.0,3.0,March
500021,105138,2025-11-28,2017,2.0,0.0,Gateway,Completed,2025.0,11.0,November
500022,105368,2024-11-15,2013,2.0,0.0,Gateway,Completed,2024.0,11.0,November
